////Multiplicity: <br/>Range: <br/>Modes: 
////Кратность: <br/>Дальность: <br/>Режимы: 
///////////////
Language, "Original", "Russian"
STR_vss_10b_trs_dz_desc,"Caliber: 9x39mm<br />Quantity: 10 cartrige<br />Type: subsonic, tracer<br />Use: VSS, AS Val, SR3","Калибр: 9х39мм<br />Количество: 10 патронов<br />Тип: дозвуковой, трассер<br />Используется: ВСС, АС Вал, СР3"
STR_val_20b_dz_name,"9x39(20cartr),subsonic","9x39(20патр),дозвук."
STR_val_20b_dz_desc,"Caliber: 9x39mm<br />Quantity: 20 cartrige<br />Type: subsonic<br />Use: VSS, AS Val, SR-3","Калибр: 9х39мм<br />Количество: 20 патронов<br />Тип: дозвуковой<br />Используется: ВСС, АС Вал, СР-3"
STR_sr3_30b_dz_name,"9x39(30cartr),subsonic","9x39(30патр),дозвук."
STR_sr3_30b_dz_desc,"Caliber: 9x39mm<br />Quantity: 30 cartrige<br />Type: subsonic<br />Use: AS Val, SR-3","Калибр: 9х39мм<br />Количество: 30 патронов<br />Тип: дозвуковой<br />Используется: АС Вал, СР-3"

STR_vss_10b_sz_name,"9x39(10cartr),supersonic","9x39(10патр),сверхзвук."
STR_vss_10b_sz_desc,"Caliber: 9x39mm<br />Quantity: 10 cartrige<br />Type: supersonic<br />Use: VSS, AS Val","Калибр: 9х39мм<br />Количество: 10 патронов<br />Тип: сверхзвуковой<br />Используется: ВСС, АС Вал"
STR_vss_10b_trs_sz_name,"9x39(10cartr),supson, green tracer","9x39(10патр),сверхзвук, зеленый трассер"
STR_vss_10b_trs_sz_desc,"Caliber: 9x39mm<br />Quantity: 10 cartrige<br />Type: supersonic, tracer<br />Use: VSS, AS Val, SR3","Калибр: 9х39мм<br />Количество: 10 патронов<br />Тип: сверхзвуковой, трассер<br />Используется: ВСС, АС Вал, СР3"
STR_val_20b_sz_name,"9x39(20cartr),supersonic","9x39(20патр),сверхзвук."
STR_val_20b_sz_desc,"Caliber: 9x39mm<br />Quantity: 20 cartrige<br />Type: supersonic<br />Use: VSS, AS Val, SR3","Калибр: 9х39мм<br />Количество: 20 патронов<br />Тип: сверхзвуковой<br />Используется: ВСС, АС Вал, СР3"
STR_sr3_30b_sz_name,"9x39(30cartr),supersonic","9x39(30патр),сверхзвук."
STR_sr3_30b_sz_desc,"Caliber: 9x39mm<br />Quantity: 30 cartrige<br />Type: supersonic<br />Use: AS Val, SR-3","Калибр: 9х39мм<br />Количество: 30 патронов<br />Тип: сверхзвуковой<br />Используется: АС Вал, СР-3"

STR_dz_am,"Subsonic","Дозвуковой"
STR_dz_trs_am,"Subsonic, tracer","Дозвуковой, трассер"
STR_sz_am,"Supersonic","Сверхзвуковой"
STR_sz_trs_am,"Supersonic, tracer","Сверхзвуковой, трассер"

STR_vssk_mag_name,"12.7x55(10cartr)","12.7x55(10патр)"
STR_vssk_mag_desc,"Caliber: 12.7x55mm<br />Quantity: 10cartrige<br />Type: Normal<br />Use: SV-1367","Калибр: 12.7x55мм<br />Количество: 10патронов<br />Тип: обычный<br />Используется: СВ-1367"

STR_korob100r_rpd_name,"7.62x39(100cartr)","7.62x39(100патр)"
STR_korob100r_rpd_desc,"Caliber: 7.62x39 mm<br />Quantity: 100 cartrige<br />Type: Normal<br />Use: LMG RPD","Калибр: 7.62x39 мм<br />Количество: 100 патронов<br />Тип: обычный<br />Используется: пулем. РПД"

STR_mtc_5b_drob_desc,"Caliber: 12x70 mm<br />Quantity: 5 cartrige<br />Type: buckshot<br />Use: MTc-255","Калибр: 12х70 мм<br />Количество: 5 патронов<br />Тип: картечь<br />Используется: МЦ-255"
STR_mtc_5b_pula_desc,"Caliber: 12x76 mm<br />Quantity: 5 cartrige<br />Type: slig<br />Use: MTc-255","Калибр: 12х76 мм<br />Количество: 5 патронов<br />Тип: пуля<br />Используется: МЦ-255"

STR_vsk_20b_dz_desc,"Caliber: 9x39mm<br />Quantity: 20 cartrige<br />Type: subsonic<br />Use: 9a-91, VSK","Калибр: 9х39мм<br />Количество: 20 патронов<br />Тип: дозвуковой<br />Используется: 9А-91, ВСК"
STR_vsk_20b_sz_desc,"Caliber: 9x39mm<br />Quantity: 20 cartrige<br />Type: supersonic<br />Use: 9a-91, VSK","Калибр: 9х39мм<br />Количество: 20 патронов<br />Тип: сверхзвуковой<br />Используется: 9А-91, ВСК"

STR_762vsk_name,"7.62x39(20cartr)","7.62x39(20патр)"
STR_762vsk_desc,"Caliber: 7.62x39mm<br />Quantity: 20cartrige<br />Type: Normal<br />Use: 9a-91(7.62)","Калибр: 7.62х39мм<br />Количество: 20 патронов<br />Тип: обычный<br />Используется: 9а-91(7.62)"
